name,description,cuisine,course,diet,ingredients_name,ingredients_quantity,prep_time (in mins),cook_time (in mins),instructions,image_url
"Sichuan Style Zhong Shui Jiao Recipe (Caramelized Onion, Cabbage And Peas Dumplings in Red Oil Recipe)","Sichuan Style Zhong Shui Jiao Recipe (Caramelized Onion,Cabbage And Peas Dumplings in Red Oil Recipe) is a special dumpling originated from the Sichuan province of China. The soft and light dumpling is floated in a dark and sweet soya sauce with a drizzle of chili oil. The sauce added over the dumpling is a very special sauce, it is not just made from soya sauce but a lot of other ingredients goes inside it to increase the flavor and bring an extra punch to the soya sauce. ",Sichuan,Side Dish,Vegetarian,"All Purpose Flour (Maida), Oil, Cabbage (Patta Gobi/ Muttaikose), Green peas (Matar), Spring Onion (Bulb & Greens), Soy sauce, Red Chilli sauce, Honey, Salt, Sesame (Gingelly) Oil, Red Chilli sauce, Sesame seeds (Til seeds), Soy sauce, Water, Brown Sugar (Demerara Sugar), Cinnamon Stick (Dalchini), Star anise, Ginger","For the wonton wrappers 1 cup All Purpose Flour (Maida)  1 tablespoon Oil For the stuffing 1 cup Cabbage (Patta Gobi/ Muttaikose) , shredded  1/2 cup Green peas (Matar)  2 sprig Spring Onion (Bulb & Greens) , chopped  1 tablespoon Soy sauce  1 tablespoon Red Chilli sauce  1 teaspoon Honey Salt , to taste For the red chilli oil 4 tablespoon Sesame (Gingelly) Oil  2 tablespoon Red Chilli sauce  1 teaspoon Sesame seeds (Til seeds) For the Concentrated Soya sauce 5 tablespoon Soy sauce  1/3 cup Water  5 tablespoons Brown Sugar (Demerara Sugar)  2 inch Cinnamon Stick (Dalchini)  1 Star anise  1 inch Ginger",20.0,45.0,"We begin making the Sichuan Style Zhong Shui Jiao Recipe (Caramelized Onion, Cabbage And Peas Dumplings in Red Oil Recipe) by mixing the ingredients to make a dough for the wonton wrappers in a large mixing bowl. Add enough water to get a soft but not a sticky dough consistency. Once done cover it with a damp cloth so that it does not become dry.The next step is to make the stuffing for the dumplings, heat a heavy bottomed shallow pan, and add oil and sauté the garlic, ginger onions, cabbage, peas and spring onions for about 10 minutes. Cook until the cabbage is soft and crunchy.Once done add soya sauce, Sichuan chili paste, honey, salt and pepper according to your taste. Give it a toss so that the sauces are well coated with all the vegetables. Set it aside to cool down.Next to make the chili oil, heat a small flat bottomed pan, heat the oil and add the Sichuan chili paste and sesame seeds. Let it cook in the oil for few minutes till the aroma comes out and keep it aside.To make the soya sauce concentration, heat a sauce pan with all the ingredients combined. Keep the heat low and slowly let it boil and keep stirring occasionally to combine the ingredients well. After 10 minutes switch off the heat.Now it is time to roll the wonton wrappers, divide the dough into small ball shaped balls, roll each ball on a board, the dough has to be rolled very thin making sure it does not tear. Roll the dough into a circle shape.Once done, in a small bowl keep some water ready to bind the wonton mixture, Take a teaspoon of the filling and place it in the center of the rolled dough, dab some water on the edges of the dough.Form a taco shape and pinch at one end and seal till the middle, then join the opposite side to the middle to form a triangle shape. Make sure all the edges are sealed properly.Heat a vegetable gas steamer by adding one cup of water below, apply some oil on the plate where the dumpling are kept, once the water starts to boil, place all the dumplings and cover them. Let it cook for 5 minutes.Remove the dumplings after it is cooked, place it on a plate, add a teaspoon of chili oil and drizzle the concentrated soya on top and serve.Serve the Sichuan Style Zhong Shui Jiao Recipe (Caramelized Onion, Cabbage And Peas Dumplings in Red Oil Recipe) along withDinner meal.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/oct-20/Sichuan_Zhong_Shui_Jiao_Recipe_Cabbage_And_Roasted_Onion_Dumplings_in_Red_Oil_Recipe-1.jpg
Rose Flavoured Shahi Tukda Recipe,Shahi Tukda is an Indian dessert which is basically a variant of a  bread pudding made of fried bread slices served with rabri. This version of Rose Flavoured Shahi Tukda Recipe includes rose water which gives it a distinctive sweetish flavour and aroma.,Hyderabadi,Dessert,Vegetarian,"Whole Wheat Brown Bread, Ghee, Sugar, Water, Rose water, Milk, Sugar, Cardamom Powder (Elaichi), Rose Essence, Rose Petals, Pistachios","For the Shahi Tukda 4 Whole Wheat Brown Bread Ghee , for shallow frying  2 tablespoons Sugar  1 tablespoon Water  1 teaspoon Rose water For the Rabri/ Basundi 2 liter Milk  3/4 cup Sugar  1 pinch Cardamom Powder (Elaichi) Rose Essence , few drops Rose Petals , to garnish Pistachios , finely chopped, for garnish",10.0,20.0,"To begin making Rose Flavoured Shahi Tukda Recipe, we will first make the rabri for this dish.*For the Basundi/Rabri To begin making the Basundi Recipe, we will first have to condense the milk. To do this, place the milk on high heat over a heavy bottomed saucepan and bring it boil.Add the sugar and stir continuously until the sugar dissolves. Once the sugar has dissolved and the milk is boiling vigorously for a few minutes reduce the heat to low and simmer the milk mixture stirring continuously until it is reduced to three fourths of its original quantity.The condensation will cause the cream from the milk to settle on the sides and bottom of the pan. Its important to keep scraping down the cream and adding it back to the condensing milk.The mixture will begin to thicken and get a creamy texture. It is important to make sure towards the end of the condensing process to be close to the stove monitoring the milk and stirring it continuously.The last stages are when the condensed milk can get burned at the bottom of the pan and completely alter the taste of the basundi.Note Again: During the process of condensation of the milk, keep stirring the cream that keep forms, as it will stick to the sides and bottom of of them pan, while stirring keep scrapping down the sides and bottom to prevent burning of the cream.Once the milk has reduced to half of its original quantity, turn off the heat. Add the rose essence and mix.Transfer the Basundi (Rabri) to a serving dish and allow it to cool before you can refrigerate for 3-4 hours. *For the Shahi TukdaCut each bread slice into 4 triangles. Heat a saucepan on medium flame, add ghee, and place the bread triangles. Shallow fry on both sides till you get a deep golden colour. Remove from the pan and set aside.In another pan, combine sugar, water and rose water and bring to a single boil. Turn off the flame. Dip the fried bread slices in the sugar syrup, drain and set aside.To serve, in a platter, pour the thick rabri and place the shahi tukda bread slices over it, garnish with pistachios and fresh or dried rose petals. Serve Rose Flavoured Shahi Tukda Recipe after a scrumptious meal of Hyderabadi Khatti Dal Recipe (Hyderabadi Tangy Lentil Curry), Homemade Butter Naan Recipe, and Hyderabadi Bagara Baingan Recipe.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/garimasgautam-gmail.com/Rose_Shahi_Tukda_Recipe-2.jpg
"Healthy Waffles with Greek Yogurt, Figs and Sweet Dukkah Recipe","Healthy waffles with greek yogurt, figs and sweet Dukkah is a world breakfast recipe that comes handy for a quick and healthy breakfast. Waffles are no longer limited to a Sunday breakfast treat. Bring these healthy waffles to your weekday breakfast table because these are wholesome and nutritious. They also freeze very well making them a very good on the go breakfast option, Just thaw in the microwave and eat and they still remain crispy.",Continental,World Breakfast,Vegetarian,"Milk, Apple cider vinegar, Butter (Salted), Honey, Rolled Oats, Buckwheat Flour (Kuttu Ka Atta), Baking powder, Salt, Fresh Figs, Hung Curd (Greek Yogurt), Mint Leaves (Pudina), Sesame seeds (Til seeds), Poppy seeds, Whole Almonds (Badam), Pistachios, Butter (Salted), Honey","1-1/4 cup Milk  1 teaspoon Apple cider vinegar  1/4 cup Butter (Salted) , melted  1/3 cup Honey , + some more to drizzle  1/2 cup Rolled Oats  1-3/4 cup Buckwheat Flour (Kuttu Ka Atta) , (or any gluten free flour)  1-1/2 teaspoon Baking powder Salt , a pinch  5 Fresh Figs , quartered Hung Curd (Greek Yogurt) , as needed Mint Leaves (Pudina) , a few Ingredients for Sweet Dukkah (To be mixed together) 4 tablespoons Sesame seeds (Til seeds)  2 tablespoons Poppy seeds  2/3 cups Whole Almonds (Badam) , toasted  1/4 cups Pistachios  1-2 tablespoons Butter (Salted) , melted  1 tablespoon Honey",10.0,30.0,"To prepare this healthy waffles with greek yogurt, figs and sweet Dukkah Recipe, Preheat oven at 180 degree Celsius and line a baking sheet with baking paper, Combine all the nuts in bowl and mix it with melted butter and toast it for 5 mins, now remove from the oven drizzle with honey and return it back to the oven for about 7 minutes or until golden. Keep a check on the temperature as nuts burn easily. Let it cool completely and roughly process in a food processor and set aside.In a mixing bowl, add milk and apple cider vinegar. Mix and set aside for 3-4 minutes (to get buttermilk).Now to this, add the remaining wet ingredients and whisk well until combined with a whisk.In another bowl, add all dry ingredients and combine well.Bring both dry and wet ingredients together to make a thick batter. Rest it until the waffle iron heats up.Now make the waffles by pouring a 1/3rd cup of batter into each cavity. It takes about 3-4 minutes or goes by your appliance.Serve the waffles with fresh figs, Greek yogurt, honey, sweet dukkah and mint leaves.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Gauravi_Vinay/Healthy_waffles_with_greek_yogurt_figs_and_sweet_Dukkah.jpg
Punjabi Kadi Pakora Recipe,"Punjabi Kadhi Pakora Recipe is spiced up yogurt based curry cooked along with spiced gram flour dumplings. It is a classic dish from North India and Punjab where the yogurt is simmered along with chillies, ginger and coriander and delicious pan fried dumplings (pakora).",Punjabi,Dinner,Vegetarian,"Gram flour (besan), Red Chilli powder, Turmeric powder (Haldi), Enos Fruit Salt, Oil, Gram flour (besan), Hung Curd (Greek Yogurt), Water, Onion, Turmeric powder (Haldi), Red Chilli powder, Coriander Powder (Dhania), Garam masala powder, Asafoetida (hing), Cumin seeds (Jeera), Cinnamon Stick (Dalchini), Dry Red Chillies, Curry leaves, Ghee, Coriander (Dhania) Leaves, Salt","Ingredients for the Pakoras 1/2 cup Gram flour (besan)  1/2 teaspoon Red Chilli powder  1/2 teaspoon Turmeric powder (Haldi)  1/2 teaspoon Enos Fruit Salt Oil , for pan frying Ingredients For the Punjabi Kadhi 3/4 cup Gram flour (besan)  1 cup Hung Curd (Greek Yogurt)  2-1/2 cups Water  1 Onion , thinly sliced  1 teaspoon Turmeric powder (Haldi)  1/2 teaspoon Red Chilli powder  1/2 teaspoon Coriander Powder (Dhania)  1/2 teaspoon Garam masala powder  1/4 teaspoon Asafoetida (hing) Ingredients for seasoning 1/4 teaspoon Cumin seeds (Jeera)  1 inch Cinnamon Stick (Dalchini)  3 Dry Red Chillies  1 sprig Curry leaves  1 tablespoon Ghee Coriander (Dhania) Leaves , few, chopped Salt , to taste",10.0,45.0,"To begin making the Punjabi Kadhi Pakora recipe, firstly we will make the pakoras. Combine all the ingredients for the pakora including gram flour, red chilli powder, turmeric powder, fruit salt in a large bowl. Add very little water to make a thick batter.Heat the kuzhi paniyaram pan on medium heat; add a teaspoon of oil into each of the cavities and drop a spoon of the pakora batter into the cavity. Cover the pan and steam cook the pakora's until you notice the top has steamed. Once the top has steamed, flip them over to cook on the other side. Continue to cook on medium heat until the pakoras has cooked through from the inside and have a golden brown color. Proceed the same way with the remaining pakora batter and keep them aside.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/jan-5/Punjabi_Kadhi_Pakora_Recipe-0803.jpg
Gulab Jamun Trifle Recipe,"Gulab Jamun Trifle is a rich, delicious, cold dessert prepared with layers of custard and gulab jamun. This is best party dessert to prepare if you have lot of gulab jamuns. This Diwali, instead of serving the usual gulab jamuns, you can make this trifle and impress your friends and family. Baked Banana Chips",Indian,Dessert,Vegetarian,"Gulab jamun, Custard powder, Milk, Sugar",10 Gulab jamun  2 tablespoons Custard powder  2 cups Milk  2 teaspoons Sugar,5.0,15.0,"To begin making the Gulab Jamun Trifle recipe, firstly crumble the gulab jamun along with its sugar syrup reserving two for garnishing. You can also slice them.Heat milk in a sauce pan. Take custard powder in a bowl, add little water or milk and mix without lumps.Once milk comes to boil, reduce the flame and add sugar and custard mixture. Keep stirring until the custard becomes thick.Allow it to cool. Take a tall serving glass, add 3 tablespoons of cooled custard, then add 2 tablespoons of gulab jamun crumbles.Add some custard mixture again followed by gulab jamun mixture layering one after another until it comes to 3/4th of the glass.Now garnish with gulab jamun on top and add some crushed nuts. Refrigerate for 30 minutes.The delicious gulab jamun trifle is ready. Serve chilled and enjoy.Serve Gulab Jamun Trifle to your guests along with snacks like Baked Banana Chips and Spicy Mushroom Puffs. You can also serve them as desserts after your festive meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/GULAB_JAMUN_TRIFLE_1600.jpg
Muttai Parotta Recipe ( Ande Ka Paratha / Egg Filled Flat Bread),"Muttai Parotta Recipe as they call it in the southern India; where Muttai/Anda means eggs. The recipe is simple and quick to make and delicious to eat. My children love this Muttai Parotta too.Making the pocket for the paratha can be a little tricky the first time, but if you are used to making the roti and phulka then this method is absolutely simple.",Tamil Nadu,Main Course,Eggetarian,"All Purpose Flour (Maida), Salt, Water, Whole Eggs, Onions, Tomatoes, Coriander (Dhania) Leaves, Green Chillies, Salt, Oil","Ingredients for dough 1 cup All Purpose Flour (Maida)  1/4 teaspoon Salt Water , to knead Ingredients for the egg filling 2 Whole Eggs  1/4 cup Onions , finely chopped  1/4 cup Tomatoes , finely chopped  2 sprig Coriander (Dhania) Leaves , finely chopped  1 Green Chillies , finely chopped Salt , to taste Oil , for cooking",5.0,40.0,"To begin making the Muttai Parotta Recipe, in large bowl, combine the flour and salt. Add a little water at a time and knead into a firm dough. Add a teaspoon of oil on the top and knead for a few more minutes until smooth. Divide into 6 portions, cover and set aside.In another bowl, combine all the ingredients for the egg filling. Set aside.Heat a skillet on medium heat and grease it with a little oil (if iron)Roll the dough portions into balls and flatten them with the palm of your hand. Toss them on flour and roll them out into circles of approximately 3 inches in diameter. Put 1/4 teaspoon oil and spread it on the rolled paratha dough.We need to get a triangle shape, to do so, first fold into a semi-circle, then fold the semicircle into half again. You get a mini triangle shape. Tossing the triangle on a little flour, roll it out gently into a larger triangle. Continue the same process of rolling with the remaining paratha dough portions.With skillet on medium high heat, place one rolled out dough on the skillet. After a few seconds you will notice an air pockets popping out. Flip and allow to cook for a few seconds.At this point remove from the stove and continue the same process for the remaining dough portions. Remember this bread is only partially cooked, but has air pockets in them that will be used for the filling as shown in the video.Now, using a knife slit a corner from the paratha to make a small pocket. Hold the paratha in your hand, with the pocket opening facing up. Using a small scoop spoon, fill in the muttai (egg) mixture just enough so that it fits in. Now on to the same skillet place this muttai filled paratha for cooking.Drizzle a teaspoon of oil around the Muttai Parotta and cook until well done on both sides. When you press the paratha there should be no egg mixture that oozes out. This is when you know that it is fully cooked.Muttai Parotta Recipe is now ready to be served hot. Serve the Muttai Parotta as it is along with a tall glass of Pudina Buttermilk for dinner or lunch.",https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breads/Muttai_Parotta_Anda_Paratha_Recipe-3.jpg
Pissaladiere Recipe - Provencal Onion Tart Recipe,"Pissaladiere is a tart dish which originated from southern france. The base of this classic Provencal Onion tart is made from the bread dough or the pizza dough that is thicker than a classic Italian Pizza. This tart is topped with caramelized onions, garlic and olives. You can also modify the traditional recipe by adding some tropical fruits or other favorite vegetables like green pepper or mushrooms too.",French,Appetizer,Vegetarian,"Active dry yeast, All Purpose Flour (Maida), Extra Virgin Olive Oil, Lukewarm Water, Flax seeds, Onions, Tomatoes, Fresh Thyme leaves, Garlic, Salt and Pepper, Del Monte Green Olives, Extra Virgin Olive Oil, Extra Virgin Olive Oil","1/2 teaspoon Active dry yeast  1-1/2 cups All Purpose Flour (Maida) , plus more for dusting  3 tablespoon Extra Virgin Olive Oil  1/4 cup Lukewarm Water  1 tablespoon Flax seeds , ground Ingredients for the topping 3 Onions , thinly sliced  1 cup Tomatoes , chopped  Few sprig Fresh Thyme leaves  3 cloves Garlic , minced Salt and Pepper , as needed  1/2 cup Del Monte Green Olives , pitted  2 tablespoons Extra Virgin Olive Oil  2 tablespoons Extra Virgin Olive Oil",15.0,120.0,"To begin making Pissaladiere Recipe, in a small bowl, stir in flaxseed powder with 3 tablespoons water and keep aside. It will thicken and fluff up in 3 minutes.In a bowl of a stand mixer fitted with a dough hook attachment, combine the yeast and flour. Add the flax seeds mixture, oil and 1/4 cup of water. Beat on low speed until the dough forms a ball and comes clean from the sides of the bowl. This might take 5 to 8 minutes.Put the dough into a greased bowl and cover with plastic wrap. Let the dough rest for 40 to 45 minutes or until  double in size.While the dough is proofing we will make the caramelized onion topping.In a large sauté pan, heat the oil over low heat. Add the garlic and sauté for few seconds. Add the onions and let it slowly cook until tender and lightly caramelized. You don't want the onion to burn, but be sweet and tender.Add the chopped tomatoes and cook until all liquid is evaporated. Season with thyme, salt and pepper and turn off the heat. Cool down to room temperature.Preheat the oven to 200 C.Line a baking sheet with parchment paper and keep aside.The next step is to make the Pissaladiere.  On a floured surface, roll the dough to a circle about 9 inches in diameter.Place this on the baking sheet. Top with the onion mixture and olives. Let it rest for 20 minutes before baking.Bake for about 30 minutes or until the crust is golden brown and the topping looks bubbly.Once done, cool slightly, slice the Pissaladiere into wedges and serve.Serve Pissaladiere as an appetizer with Cauliflower Au Gratin Recipe (French Style Cauliflower & Cheese Bake).",https://www.archanaskitchen.com/images/archanaskitchen/World_Appetizers/Pissaladiere_Recipe_Provencal_Onion_Tart_Recipe-1.jpg
Deviled Eggs Recipe With Mayo And Mustard Recipe,"Deviled Eggs with Mayo and Mustard are delicious starters that you can serve at your parties. There are high protein appetizers that can be eaten hot or cold. Devilled eggs also go by the name of stuffed eggs, salad eggs or dressed eggs that are common in the Americas or Europe.",Continental,Appetizer,Eggetarian,"Whole Eggs, Dijon Mustard, Classic Mayonnaise (With Egg), Dill leaves, Cayenne Pepper, Salt","5 Whole Eggs , boiled  1 tablespoon Dijon Mustard  3 tablespoons Classic Mayonnaise (With Egg)  1 tablespoon Dill leaves , finely chopped  1 teaspoon Cayenne Pepper Salt , to taste",15.0,15.0,"To begin making Deviled Eggs Recipe with Mayo and Mustard recipe, firstly boil the eggs. In a pot, add water enough to submerge the eggs completely. For the eggs to get to a hard boiled stage, it'll take up to 10 minutes in boiling water. Turn off the flameRemove the boiled eggs from the hot water and put it in a bowl of cold water or in a bowl of ice cubes. This will help to stop the cooking process and remove the egg shells easily. De shell the eggs and cut them in half. Scoop out the yolks and put them in a bowl. Into the bowl containing the yolks, add the dijon mustard, mayonnaise, dill leaves and salt. Mix until it gets to a creamy texture. Taste for seasoning. Add this Mayo Mustard Mixture into a piping bag. If you don't have a piping bag, add this to a thick plastic cover (ones that you get your groceries in), cut off the edge. Pipe this creamy Mayo Mustard Yolk mixture into the Egg White halves. Once done, refrigerate the Deviled Eggs Recipe for 30 minutes. Before serving the Deviled Eggs Recipe take them out and garnish with cayenne pepper and freshly chopped dill leaves. Serve these delicious Deviled Eggs with Mayo and Mustard as a starter at your parties along with other party starters such as KFC Style Crispy Chicken Popcorn Recipe, Peri Peri Fish Fingers Recipe and Cauliflower Croquettes RecipeYou can also eat Deviled Eggs with Mayo and Mustard as an evening snack along with a hot cup of Masala Chai.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/ruby_pathak-yahoo.com/Egg_Devil_with_Mustard_Mayonnaise.jpg
Andhra Style Potato Korma Recipe,"Andhra Style Potato Korma Recipe have flavors that are sensational. The whole spice used are stone flower, star anise, cinnamon and cardamom. The potato is cooked in coconut and poppy seeds based gravy and simmered till the flavors are developed.",Andhra,Lunch,Vegetarian,"Potatoes (Aloo), Stone flower, Star anise, Cinnamon Stick (Dalchini), Cardamom (Elaichi) Pods/Seeds, Fennel seeds (Saunf), Onion, Tomato, Garlic, Ginger, Coriander (Dhania) Leaves, Mint Leaves (Pudina), Green Chilli, Red Chilli powder, Coriander Powder (Dhania), Turmeric powder (Haldi), Garam masala powder, Salt, Fresh coconut, Poppy seeds","4 Potatoes (Aloo) , cut into small cubes  1 Stone flower  1 Star anise  1 inch Cinnamon Stick (Dalchini)  2 Cardamom (Elaichi) Pods/Seeds  1 teaspoon Fennel seeds (Saunf)  1 Onion , sliced  1 Tomato , chopped  2 cloves Garlic , chopped  1 inch Ginger , chopped  4 sprig Coriander (Dhania) Leaves , chopped  4 sprig Mint Leaves (Pudina) , chopped  1 Green Chilli , chopped  1 teaspoon Red Chilli powder  1 tablespoon Coriander Powder (Dhania)  1/2 teaspoon Turmeric powder (Haldi)  1 teaspoon Garam masala powder Salt , to taste Ingredients to grind 1/2 cup Fresh coconut , grated  5 tablespoons Poppy seeds , roasted",10.0,30.0,"To begin making Andhra Style Potato Korma the Recipe grind the roasted poppy seeds and coconut with water to a smooth paste and keep it aside.Heat a pressure cooker with oil, add fennel seeds, stone flower, star anise, cinnamon and cardamom and fry for 10 seconds.Add sliced onions, ginger, garlic and green chilli and fry for about 5 minutes till the onions turn translucent.Add tomatoes and salt and saute until it becomes soft and mushy. Add in the chopped herbs and give it a stir.Add the ground paste along with spice powders (red chilli powder, turmeric, garam masala, coriander powder) and salt. Mix well.Saute for 5 more minutes, add potatoes and 1 cup of water and pressure cook for 3 whistle.Switch off the heat and allow the pressure to release by itself and serve hot.Serve the Andhra Style Potato Korma along with Tawa Paratha or Hibiscus (Chembaruthi) Neer Dosa to enjoy your evening meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Potato_Korma_Recipe_.jpg
Spinach Sun Dried Tomato Pasta Recipe,"Spinach Sun Dried Tomato Pasta is a one pot pasta which is made with some of the delicious ingredients like Spinach leaves, Sun dried tomatoes and Zucchini. If you have to come back home in the evening and need to prepare dinner, this is one dish that you should have on your list. Add everything into a casserole, cook and it's done.",Italian Recipes,Dinner,High Protein Vegetarian,"Conchiglie Pasta, Spinach Leaves (Palak), Sun Dried Tomatoes, Green zucchini, Tomatoes, Garlic, Salt, Red Chilli flakes, Mixed Herbs (Dried), Fresh cream, Parsley leaves","2-1/2 cup Conchiglie Pasta  2 cups Spinach Leaves (Palak)  10 Sun Dried Tomatoes , chopped  1/2 Green zucchini , chopped  2 Tomatoes , chopped  4 to 5 cloves Garlic Salt , to taste  1 teaspoon Red Chilli flakes  1 tablespoon Mixed Herbs (Dried)  1 tablespoon Fresh cream Parsley leaves , as required (chopped) or Basil",10.0,25.0,"To begin with Spinach Sun Dried Tomato Pasta, add zucchini, tomatoes, spinach and sun dried tomatoes to the pasta in a saucepan. Crush the garlic and add in the same pan.Add enough water to cover the pasta. Add salt and red chilli flakes and let the water start boiling. Cover the casserole with a lid and cook it till the pasta is cooked properly.Once the pasta is cooked properly, open the lid and let the remaining water evaporate and the liquid becomes saucy.Switch off the flame and add cream and chopped parsley or basil and give it a mix.Serve Spinach Sun Dried Tomato Pasta with Smoked Tofu and Grilled Vegetable Salad and a glass of red wine for a classy weeknight dinner.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Spinach_Sun_Dried_Tomato_Pasta.jpg
Gawarphali ki sabzi recipe -cluster beans sabzi,Gawarphali Ki Sabzi is a traditional North Indian dish that is served with paratha or rice. This is simple to make and requires only minimal household ingredients. It gets ready in no time and therefore you can also pack this in your lunch box.,North Indian Recipes,Lunch,Vegetarian,"Gawar Phali (Kothavarangai / Cluster Beans), Green Chilli, Garlic, Garlic, GRAM Flour (Besan), Mustard Seeds (Rai / Kadugu), Cumin Seeds (Jeera), Asafoetida (Hing), Turmeric Powder (Hing), Coriander Powder (Dhania), Amchur (Dry Mango Powder), Salt, Oil","250 Grams Gawar Philli (Kluster Beans) 1 Green chilli 4 cloves garlic 1 1/2 Teaspoon Mustard Seeeds (Rai/ Kadugu) 1/2 Teaspoon Cumi (Jera) Asafoetida (HING) , A Pinch 1/4 Teaspoon Turmeric Power (Haldi) 1/2 Teaspoon CORANDER POWDER (DHANIA) 1/2 Teaspo Amchur (Dry Mango Powder) , To Taste 1 Teaspoon Oil",10.0,15.0,"To begin making the Gawarphali Ki Sabzi recipe, first wash and cut cluster beans into one inch size. Add it to pressure cooker along with required water and cook for 2 whistles.Once the pressure releases, open the lid of cooker. Drain excess water and keep aside the cooked cluster beans.Heat a heavy bottomed pan with oil, add mustard seeds and cumin seeds. Once the cumin seeds splutters, add asafoetida, crushed garlic and green chilli. Saute well for a minute.After a minute, add besan flour to it and mix well on low flame. Let it cook for about 2 to 3 minutes.Now add the cooked cluster beans along with required salt, turmeric powder, coriander powder and amchoor powder. Mix well and saute for a minute.Sprinkle little water and cook Gawarphali Ki Sabzi on medium flame until it thickens and the cluster beans are cooked properly along with besan. Serve Gawarphali Ki Sabzi hot.Serve Gawarphali Ki Sabzi along with Panchmel Dal, Boondi Raita and Phulka for a weekday lunch.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/GAWAR_PHALI_KI_SABZI__CLUSTER_BEANS_CURRY_1600.jpg
Niramish Aloo Dum Recipe,"This Niramish Aloo Dum recipe is perfect for festivals as it is made without onion and garlic, still is loaded with lots of flavor. This is usually served with Radhaballavi or Stuffed Chana Daal Poori and is undoubtedly the favorite breakfast of a typical Bengali Household. This mouth watering delicacy found its way to the heart of many people just like me who despite not being a Bengali love this lip smacking aloo dum. You will find this combo mainly made during Pujas and other functions in many Bengali households.",Indian,Lunch,Vegetarian,"Potatoes (Aloo), Cumin seeds (Jeera), Dry Red Chillies, Dry ginger powder, Turmeric powder (Haldi), Red Chilli powder, Garam masala powder, Asafoetida (hing), Coriander (Dhania) Leaves","6 Potatoes (Aloo)  1 teaspoon Cumin seeds (Jeera)  2 Dry Red Chillies  1 teaspoon Dry ginger powder  1/2 teaspoon Turmeric powder (Haldi)  1 teaspoon Red Chilli powder  1/2 teaspoon Garam masala powder  1 teaspoon Asafoetida (hing)  Few Coriander (Dhania) Leaves , for garnishing",15.0,30.0,"To begin making the Niramish Aloo Dum, wash, boil, peel and coarsely mash the potatoes so that large chunks remain intact.Make a paste of the dry ginger powder, turmeric powder, red chili powder, garam masala powder with the help of a little water.Heat oil in a wok/kadhai. Add dry red chilli and cumin seeds. Once it starts to splutter add the hing and turn off the gas.Add the masala paste and stir well and now turn on the gas and add the mashed potato along with salt to it.Saute for 1 minute and then add water as require for the gravy.Let it boil. Cover and cook on simmer for 5 to 6 minutes or till the desired consistency of the gravy have reached.Serve Niramish Aloo Dum along with Bengali Luchi for a weekend lunch.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Alaka_Jena/Niramish_Aloo_Dum.jpg
Mirchi Ke Tipore Recipe - Green Chilli Stir Fry,Mirchi Ke Tipore Recipe is a signature dish of Rajasthani cuisine. An authentic Rajasthani meal can not be completed without Mirch Ke Tipore. It is a quick recipe and can be kept in fridge for 3 to 4 days in an airtight container.,Rajasthani,Side Dish,Vegetarian,"Green Chillies, Mustard oil, Mustard seeds (Rai/ Kadugu), Asafoetida (hing), Cumin seeds (Jeera), Fennel seeds (Saunf), Coriander Powder (Dhania), Red Chilli powder, Turmeric powder (Haldi), Amchur (Dry Mango Powder), Salt","200 grams Green Chillies , (big one), chopped  3 tablespoons Mustard oil  1 tablespoon Mustard seeds (Rai/ Kadugu)  2 pinch Asafoetida (hing)  1 tablespoon Cumin seeds (Jeera)  2 tablespoon Fennel seeds (Saunf)  1-1/2 tablespoon Coriander Powder (Dhania)  1/4 tablespoon Red Chilli powder  1/2 tablespoon Turmeric powder (Haldi)  1 tablespoon Amchur (Dry Mango Powder) Salt , to taste",10.0,8.0,"To begin making the Mirchi Ke Tipore Recipe, firstly heat oil in a heavy bottomed pan.Once the oil is heated, add asafoetida, mustard seeds, cumin seeds and fennel seeds. Cook them for about 10 to 15 seconds.After 10 to 15 seconds, add the chopped green chillies (big one). Cook them for about 3 minutes or till the green chillies becomes soft.Once they become soft, add all the masalas including turmeric powder, red chilli powder, dry mango powder and salt.Mix everything properly and cook it for more 3 minutes. Once the masala is cooked and well coated with the mirchi, switch off the gas and serve hot.Serve Mirchi Ke Tipore along with Panchmel Dal, Mooli And Wadi Ki Sabzi and Phulkas for a weekday meal with your friends and family.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pooja/Mirchi_ke_Tipore.jpg
